FullName,AadhaarOrIdRef,Age,Gender,VictimType,CaseId
Sunrise Textiles,,0,,Organization,48211000000054107
Shilpa Yadav,XXXX-XXXX-9648,47,Female,Individual,48211000000054108
Manjunath Shetty,XXXX-XXXX-3529,27,Male,Individual,48211000000054109
Farida Naik,XXXX-XXXX-8492,23,Male,Individual,48211000000054110
State Bank Branch,,0,,Organization,48211000000054111
Shilpa Kumar,XXXX-XXXX-5977,26,Female,Individual,48211000000054112
Ganesh Naik,XXXX-XXXX-2837,24,Male,Individual,48211000000054113
Naveen Shetty,XXXX-XXXX-7358,34,Male,Individual,48211000000054114
Ramesh Kumar,XXXX-XXXX-9806,37,Female,Individual,48211000000054115
Iqbal Reddy,XXXX-XXXX-4970,48,Male,Individual,48211000000054116
Ramesh Hegde,XXXX-XXXX-6036,21,Male,Individual,48211000000054117
Sunrise Textiles,,0,,Organization,48211000000054118
Kalaburagi Mall,,0,,Organization,48211000000054119
Shilpa Desai,XXXX-XXXX-4715,49,Male,Individual,48211000000054120
Meena Hegde,XXXX-XXXX-6936,61,Female,Individual,48211000000054121
Metro Supermarket,,0,,Organization,48211000000054122
Arjun Rao,XXXX-XXXX-4362,49,Male,Individual,48211000000054123
Anita Shetty,XXXX-XXXX-4781,47,Male,Individual,48211000000054124
Divya Patil,XXXX-XXXX-2785,57,Female,Individual,48211000000054125
Divya Shetty,XXXX-XXXX-8947,44,Male,Individual,48211000000054126
Prakash Sharma,XXXX-XXXX-7446,21,Male,Individual,48211000000054127
State Bank Branch,,0,,Organization,48211000000054128
Meena Kumar,XXXX-XXXX-4016,43,Female,Individual,48211000000054129
Divya Desai,XXXX-XXXX-2854,23,Male,Individual,48211000000054130
Vinod Reddy,XXXX-XXXX-9598,65,Female,Individual,48211000000054131
Sunrise Textiles,,0,,Organization,48211000000054132
Iqbal Joshi,XXXX-XXXX-3773,24,Male,Individual,48211000000054133
TechMart Electronics,,0,,Organization,48211000000054134
Divya Rao,XXXX-XXXX-4398,42,Female,Individual,48211000000054135
Basavaraj Yadav,XXXX-XXXX-8085,23,Male,Individual,48211000000054136
Kiran Desai,XXXX-XXXX-9872,46,Male,Individual,48211000000054137
Farida Sharma,XXXX-XXXX-8774,19,Female,Individual,48211000000054138
Deepa Bhat,XXXX-XXXX-7631,20,Female,Individual,48211000000054139
TechMart Electronics,,0,,Organization,48211000000054140
Suresh Patil,XXXX-XXXX-4193,65,Male,Individual,48211000000054141
Iqbal Desai,XXXX-XXXX-5461,39,Male,Individual,48211000000054142
Meena Naik,XXXX-XXXX-6185,35,Female,Individual,48211000000054143
TechMart Electronics,,0,,Organization,48211000000054144
Kalaburagi Mall,,0,,Organization,48211000000054145
National Finance Co-op,,0,,Organization,48211000000054146
Harish Bhat,XXXX-XXXX-5113,45,Female,Individual,48211000000054147
National Finance Co-op,,0,,Organization,48211000000054148
Metro Supermarket,,0,,Organization,48211000000054149
Lakshmi Gowda,XXXX-XXXX-4868,38,Female,Individual,48211000000054150
Pooja Bhat,XXXX-XXXX-2294,50,Male,Individual,48211000000054151
Vinod Shetty,XXXX-XXXX-7680,22,Male,Individual,48211000000054152
Vijay Desai,XXXX-XXXX-3632,45,Male,Individual,48211000000054153
Nagesh Nayak,XXXX-XXXX-2377,31,Male,Individual,48211000000054154
Meena Joshi,XXXX-XXXX-3837,32,Male,Individual,48211000000054155
Girish Sharma,XXXX-XXXX-4849,65,Male,Individual,48211000000054156
Basavaraj Patil,XXXX-XXXX-5577,54,Female,Individual,48211000000054157
Farida Patil,XXXX-XXXX-4263,46,Male,Individual,48211000000054158
Kalaburagi Mall,,0,,Organization,48211000000054159
Kalaburagi Mall,,0,,Organization,48211000000054160
Harish Patil,XXXX-XXXX-5029,50,Male,Individual,48211000000054161
Manjunath Reddy,XXXX-XXXX-8600,20,Male,Individual,48211000000054162
Kalaburagi Mall,,0,,Organization,48211000000054163
Shilpa Desai,XXXX-XXXX-1661,36,Male,Individual,48211000000054164
Kalaburagi Mall,,0,,Organization,48211000000054165
Anita Nayak,XXXX-XXXX-4181,22,Female,Individual,48211000000054166
Vinod Joshi,XXXX-XXXX-5258,67,Male,Individual,48211000000054167
Green Valley Traders,,0,,Organization,48211000000054168
Ravi Desai,XXXX-XXXX-3316,20,Male,Individual,48211000000054169
Suresh Nayak,XXXX-XXXX-4333,70,Male,Individual,48211000000054170
Ganesh Reddy,XXXX-XXXX-7091,29,Female,Individual,48211000000054171
City Jewellers,,0,,Organization,48211000000054172
Vijay Joshi,XXXX-XXXX-2036,44,Male,Individual,48211000000054173
Sunita Khan,XXXX-XXXX-3532,58,Male,Individual,48211000000054174
Harish Naik,XXXX-XXXX-5442,44,Female,Individual,48211000000054175
Ganesh Kumar,XXXX-XXXX-6117,65,Female,Individual,48211000000054176
Ramesh Yadav,XXXX-XXXX-6960,59,Male,Individual,48211000000054177
Harish Shetty,XXXX-XXXX-1096,45,Male,Individual,48211000000054178
Anita Rao,XXXX-XXXX-7655,54,Female,Individual,48211000000054179
Vinod Gowda,XXXX-XXXX-1243,21,Male,Individual,48211000000054180
Shilpa Hegde,XXXX-XXXX-2458,54,Female,Individual,48211000000054181
Vinod Gowda,XXXX-XXXX-6700,36,Male,Individual,48211000000054182
Shilpa Rao,XXXX-XXXX-2782,42,Female,Individual,48211000000054183
Pooja Bhat,XXXX-XXXX-4233,37,Male,Individual,48211000000054184
Suresh Sharma,XXXX-XXXX-8909,38,Male,Individual,48211000000054185
Deepa Hegde,XXXX-XXXX-2413,63,Male,Individual,48211000000054186
Kavya Shetty,XXXX-XXXX-7627,57,Male,Individual,48211000000054187
Vinod Nayak,XXXX-XXXX-4573,20,Female,Individual,48211000000054188
Vinod Hegde,XXXX-XXXX-6885,25,Male,Individual,48211000000054189
Farida Yadav,XXXX-XXXX-4155,20,Male,Individual,48211000000054190
Iqbal Rao,XXXX-XXXX-7387,56,Female,Individual,48211000000054191
Deepa Bhat,XXXX-XXXX-6017,59,Female,Individual,48211000000054192
Sharath Hegde,XXXX-XXXX-7376,60,Female,Individual,48211000000054193
Mahesh Gowda,XXXX-XXXX-1382,18,Female,Individual,48211000000054194
Mahesh Bhat,XXXX-XXXX-8508,29,Female,Individual,48211000000054195
Anil Gowda,XXXX-XXXX-6874,45,Female,Individual,48211000000054196
National Finance Co-op,,0,,Organization,48211000000054197
Sunita Kumar,XXXX-XXXX-1666,58,Male,Individual,48211000000054198
Green Valley Traders,,0,,Organization,48211000000054199
Arjun Rao,XXXX-XXXX-1889,66,Female,Individual,48211000000054200
Pooja Gowda,XXXX-XXXX-1423,22,Male,Individual,48211000000054201
National Finance Co-op,,0,,Organization,48211000000054202
Pooja Sharma,XXXX-XXXX-3705,61,Male,Individual,48211000000054203
Green Valley Traders,,0,,Organization,48211000000054204
Nagesh Gowda,XXXX-XXXX-6305,57,Female,Individual,48211000000054205
Mahesh Gowda,XXXX-XXXX-5164,50,Female,Individual,48211000000054206
Nagesh Nayak,XXXX-XXXX-9290,33,Female,Individual,48211000000054207
Kiran Gowda,XXXX-XXXX-7610,28,Female,Individual,48211000000054208
Divya Hegde,XXXX-XXXX-3764,68,Female,Individual,48211000000054209
City Jewellers,,0,,Organization,48211000000054210
Ravi Yadav,XXXX-XXXX-8422,53,Male,Individual,48211000000054211
Vijay Reddy,XXXX-XXXX-7459,65,Female,Individual,48211000000054212
Ravi Nayak,XXXX-XXXX-3395,41,Female,Individual,48211000000054213
Mahesh Shetty,XXXX-XXXX-3895,57,Male,Individual,48211000000054214
Arjun Patil,XXXX-XXXX-6080,58,Female,Individual,48211000000054215
Farida Kumar,XXXX-XXXX-4631,27,Female,Individual,48211000000054216
Ganesh Hegde,XXXX-XXXX-9399,41,Male,Individual,48211000000054217
Kalaburagi Mall,,0,,Organization,48211000000054218
